user,task,trial,c_pos_x,c_pos_y,c_vel_x,c_vel_y,t_pos_x,t_pos_y,t_vel_x,t_vel_y,radius,time,success
0,0,0,0.49245298,0.2171295,0.0,0.0,0.48335356,0.27091032,-0.24320340000000001,0.2723739,0.012684098999999999,0.6840000000000006,0
0,0,1,0.24128549,0.080703,0.0,0.0,0.22083575,0.090757854,-0.078998,0.07907745,0.012817947,0.25100000000000033,1
0,0,2,0.061213497,0.23305050000000002,0.0,0.0,0.07636973,0.19147149,-0.18703498,0.34930927,0.01665068,0.21999999999999975,0
0,0,3,0.19709100000000002,0.027724499,0.0,0.0,0.20249361,0.021660102999999997,0.08347872,0.12003820000000001,0.013182026000000001,0.03500000000000014,1
0,0,4,0.276696,0.2846565,0.0,0.0,0.2694335,0.27174499999999996,-0.3051133,-0.00829494,0.012007839,0.16799999999999926,0
0,0,5,0.3000285,0.295362,0.0,0.0,0.41691540000000005,0.22044966,-0.13682537,-0.19429784,0.020282889,0.7830000000000013,1
0,0,6,0.38567248,0.122426994,0.0,0.0,0.43385184,0.027236202999999997,-0.34423718,0.2930958,0.020343553,0.5020000000000024,0
0,0,7,0.4202595,0.0694485,0.0,0.0,0.46802235,0.08195971,-0.34589088,0.28229585,0.022110999,0.23199999999999932,0
0,0,8,0.22728600000000002,0.0529785,0.0,0.0,0.20959231,0.09506364,0.29186687,0.34218848,0.023982994,0.18500000000000227,0
0,0,9,0.069174,0.18089549,0.0,0.0,0.06112896,0.19495542,0.06593019,0.23810047,0.023239166000000002,0.018000000000000682,1
0,0,10,0.0831735,0.264069,0.0,0.0,0.0824851,0.22320278,-0.260763,-0.31560946,0.017854042,0.4349999999999987,0
0,0,11,0.028547998999999998,0.150975,0.0,0.0,0.41799430000000004,0.026149044,0.31545323,0.055669997,0.022652715,1.0,0
0,0,12,0.27806848,0.11391749999999999,0.0,0.0,0.28709126,0.12785359,-0.2516241,0.17146528,0.02007397,0.2829999999999977,0
0,0,13,0.1885815,0.178425,0.0,0.0,0.23977299,0.2540422,-0.10886633400000001,-0.14648198,0.023307387000000002,0.583000000000002,0
0,0,14,0.2517165,0.0491355,0.0,0.0,0.25902498,0.08434468,-0.016073555,0.32869333,0.01680253,0.25,1
0,0,15,0.24897149,0.180621,0.0,0.0,0.05662593,0.22454019,-0.11892343,-0.040214688,0.018226864,0.833000000000002,0
0,0,16,0.06615449999999999,0.20642399999999997,0.0,0.0,0.21695577,0.12530127,0.04197156,-0.12299954,0.015681487,0.6920000000000002,0
0,0,17,0.234972,0.06395849599999999,0.0,0.0,0.49506859999999997,0.23730461,0.16662627,0.23911852,0.012736078,0.8320000000000007,0
0,0,18,0.31540048,0.14081849,0.0,0.0,0.31759375,0.15105632,-0.08309895,0.23663795,0.015424742,0.08299999999999841,0
0,0,19,0.311283,0.089487,0.0,0.0,0.29636884,0.07955537,-0.08241903,-0.12248882,0.015390909,0.08099999999999952,0
0,0,20,0.309087,0.0892125,0.0,0.0,0.17645757,0.17856216,0.07943756,-0.06776047,0.022507269,0.5650000000000013,1
