subject_id,sentence_n,trialtime,event
0,4,15932.7171,pressed key
0,4,16491.1073,pressed key
0,4,17026.8179,pressed key
0,4,18035.7739,pressed key
0,5,782.1123,pressed key
0,5,1109.9938,pressed key
0,5,2894.4657,pressed key
0,5,3308.2287,pressed key
0,5,4022.1624,pressed key
0,5,4845.1991,pressed key
0,5,5635.0895,pressed key
0,5,6279.4917,pressed key
0,5,6772.6107,pressed key
0,5,7647.0891,pressed key
0,5,8392.3482,pressed key
0,5,8836.2844,pressed key
0,5,9260.5939,pressed key
0,5,9687.62,pressed key
0,5,10146.0279,pressed key
0,5,10613.1011,pressed key
0,5,11088.2194,pressed key
0,5,11438.4233,pressed key
0,5,12026.4003,pressed key
0,5,12354.2818,pressed key
0,5,12798.218,pressed key
0,5,13148.4219,pressed key
0,5,13644.8455,pressed key
0,5,14023.0991,pressed key
0,5,14654.3821,pressed key
0,5,15081.4082,pressed key
0,5,15973.8211,pressed key
0,5,16407.3175,pressed key
0,5,16821.0805,pressed key
0,5,17698.0265,pressed key
0,5,18343.0066,pressed key
0,5,18718.7498,pressed key
0,6,520.2227,pressed key
0,6,964.1589,pressed key
0,6,1457.2779,pressed key
0,6,1982.8524,pressed key
0,6,2344.0786,pressed key
0,6,2586.0805,pressed key
0,6,3006.8131,pressed key
0,6,3395.6684,pressed key
0,6,3784.5237,pressed key
0,6,4175.5514,pressed key
0,6,4957.6161,pressed key
0,6,5493.3267,pressed key
0,6,5920.3528,pressed key
0,6,6270.5567,pressed key
0,6,6745.675,pressed key
0,6,7527.6721,pressed key
0,6,8120.2107,pressed key
0,6,8804.7322,pressed key
0,6,9279.8505,pressed key
0,6,9742.676,pressed key
0,6,10423.0714,pressed key
0,6,10951.2476,pressed key
0,6,11340.1029,pressed key
0,6,12143.2007,pressed key
0,6,12857.1592,pressed key
0,6,13718.5103,pressed key
0,6,14276.9005,pressed key
0,6,15180.9858,pressed key
0,7,505.8552,pressed key
0,7,894.7105,pressed key
0,7,1357.536,pressed key
0,7,1824.6092,pressed key
0,7,2299.7275,pressed key
0,7,2726.7536,pressed key
0,7,2968.7555,pressed key
0,7,3789.7781,pressed key
0,7,4282.8971,pressed key
0,7,4610.7786,pressed key
0,7,5024.5416,pressed key
0,7,5517.6607,pressed key
0,7,5845.5422,pressed key
0,7,6173.4237,pressed key
0,7,6834.8767,pressed key
0,7,7466.2381,pressed key
0,7,7893.2642,pressed key
0,7,8351.672,pressed key
0,7,9164.6209,pressed key
0,7,9809.233,pressed key
0,7,10267.6409,pressed key
0,7,10734.7141,pressed key
0,7,11123.5694,pressed key
0,7,11834.1985,pressed key
0,7,12297.0241,pressed key
0,7,12740.9602,pressed key
0,7,13425.4096,pressed key
0,7,13775.6135,pressed key
0,7,14596.6688,pressed key
0,7,14974.9972,pressed key
0,7,16071.0209,pressed key
